ancho ,alto ,largo,tipo de caja
17,25,110,caja pequena
14,20,107,caja pequena
9,21,108,caja pequena
6,21,100,caja pequena
14,29,106,caja pequena
16,26,103,caja pequena
7,29,106,caja pequena
14,24,109,caja pequena
20,30,100,caja pequena
6,21,109,caja pequena
6,20,109,caja pequena
17,22,109,caja pequena
11,27,107,caja pequena
20,21,109,caja pequena
11,20,101,caja pequena
15,22,106,caja pequena
8,20,107,caja pequena
16,27,102,caja pequena
8,27,101,caja pequena
11,20,103,caja pequena
5,22,100,caja pequena
9,23,106,caja pequena
16,22,109,caja pequena
7,23,106,caja pequena
15,20,109,caja pequena
10,30,109,caja pequena
13,22,107,caja pequena
9,22,106,caja pequena
16,25,101,caja pequena
13,22,101,caja pequena
6,23,103,caja pequena
15,27,102,caja pequena
14,30,101,caja pequena
10,21,106,caja pequena
15,26,110,caja pequena
14,23,101,caja pequena
10,26,108,caja pequena
10,27,102,caja pequena
20,28,110,caja pequena
7,20,105,caja pequena
18,26,109,caja pequena
8,21,105,caja pequena
13,29,107,caja pequena
15,25,106,caja pequena
13,24,103,caja pequena
9,29,103,caja pequena
18,20,106,caja pequena
7,29,104,caja pequena
10,30,100,caja pequena
13,26,100,caja pequena
8,27,108,caja pequena
19,25,104,caja pequena
16,23,102,caja pequena
16,20,101,caja pequena
16,20,110,caja pequena
5,28,103,caja pequena
14,28,104,caja pequena
11,28,102,caja pequena
9,21,109,caja pequena
7,25,106,caja pequena
17,21,101,caja pequena
5,25,103,caja pequena
20,30,106,caja pequena
19,26,103,caja pequena
12,28,109,caja pequena
13,27,106,caja pequena
19,26,106,caja pequena
7,28,107,caja pequena
20,28,106,caja pequena
5,21,106,caja pequena
5,26,109,caja pequena
10,25,107,caja pequena
15,25,106,caja pequena
6,23,105,caja pequena
14,20,101,caja pequena
20,27,101,caja pequena
9,22,103,caja pequena
8,23,110,caja pequena
14,20,104,caja pequena
11,25,109,caja pequena
19,24,105,caja pequena
17,24,107,caja pequena
17,23,107,caja pequena
15,23,101,caja pequena
17,27,108,caja pequena
5,25,104,caja pequena
8,24,102,caja pequena
10,21,103,caja pequena
19,29,100,caja pequena
6,24,103,caja pequena
17,28,104,caja pequena
19,22,104,caja pequena
18,21,101,caja pequena
11,24,107,caja pequena
9,24,109,caja pequena
14,22,105,caja pequena
15,22,106,caja pequena
15,29,101,caja pequena
8,26,107,caja pequena
11,29,103,caja pequena
12,29,110,caja pequena
7,25,109,caja pequena
20,29,100,caja pequena
13,24,108,caja pequena
10,21,109,caja pequena
19,25,101,caja pequena
18,21,108,caja pequena
17,24,105,caja pequena
8,20,110,caja pequena
5,27,109,caja pequena
9,25,106,caja pequena
20,24,105,caja pequena
15,27,108,caja pequena
14,30,107,caja pequena
8,27,108,caja pequena
15,28,100,caja pequena
14,25,106,caja pequena
12,20,108,caja pequena
15,22,103,caja pequena
19,26,104,caja pequena
11,30,109,caja pequena
5,21,108,caja pequena
13,20,105,caja pequena
8,24,110,caja pequena
19,20,108,caja pequena
8,30,102,caja pequena
10,22,110,caja pequena
18,23,104,caja pequena
10,28,101,caja pequena
12,23,108,caja pequena
9,26,102,caja pequena
11,22,104,caja pequena
14,26,108,caja pequena
10,27,100,caja pequena
6,25,110,caja pequena
14,23,104,caja pequena
7,20,102,caja pequena
18,23,101,caja pequena
17,24,108,caja pequena
14,30,101,caja pequena
16,29,107,caja pequena
20,21,107,caja pequena
9,29,101,caja pequena
20,20,110,caja pequena
12,23,101,caja pequena
15,20,107,caja pequena
13,20,106,caja pequena
15,20,108,caja pequena
15,29,107,caja pequena
11,24,103,caja pequena
17,28,110,caja pequena
9,20,102,caja pequena
17,21,102,caja pequena
10,25,105,caja pequena
8,23,106,caja pequena
11,28,109,caja pequena
10,29,105,caja pequena
5,23,104,caja pequena
19,25,109,caja pequena
14,20,101,caja pequena
14,27,101,caja pequena
18,25,110,caja pequena
19,27,110,caja pequena
18,26,104,caja pequena
12,27,107,caja pequena
20,21,110,caja pequena
7,23,104,caja pequena
15,28,101,caja pequena
19,29,106,caja pequena
5,27,106,caja pequena
11,29,105,caja pequena
8,29,100,caja pequena
13,26,107,caja pequena
15,29,102,caja pequena
9,28,105,caja pequena
9,23,102,caja pequena
17,23,100,caja pequena
10,21,101,caja pequena
16,30,107,caja pequena
15,29,109,caja pequena
13,28,102,caja pequena
18,20,105,caja pequena
9,25,110,caja pequena
19,27,109,caja pequena
6,21,108,caja pequena
17,28,104,caja pequena
12,26,110,caja pequena
18,20,109,caja pequena
12,30,110,caja pequena
19,29,101,caja pequena
18,24,101,caja pequena
19,25,102,caja pequena
17,28,108,caja pequena
6,28,101,caja pequena
8,20,102,caja pequena
8,20,105,caja pequena
7,30,109,caja pequena
19,24,109,caja pequena
10,28,110,caja pequena
6,23,104,caja pequena
10,25,107,caja pequena
15,30,105,caja pequena
11,26,105,caja pequena
16,27,105,caja pequena
16,20,107,caja pequena
13,21,110,caja pequena
15,24,105,caja pequena
8,23,107,caja pequena
10,20,109,caja pequena
11,26,106,caja pequena
20,24,107,caja pequena
12,29,106,caja pequena
13,27,107,caja pequena
19,24,108,caja pequena
12,27,108,caja pequena
11,26,104,caja pequena
5,21,102,caja pequena
5,22,100,caja pequena
6,20,100,caja pequena
11,29,110,caja pequena
20,22,105,caja pequena
10,23,101,caja pequena
17,20,109,caja pequena
7,25,102,caja pequena
16,27,107,caja pequena
8,21,110,caja pequena
13,27,106,caja pequena
19,27,104,caja pequena
19,24,107,caja pequena
5,21,108,caja pequena
11,30,105,caja pequena
18,23,104,caja pequena
19,23,100,caja pequena
8,24,110,caja pequena
15,23,108,caja pequena
5,24,107,caja pequena
15,20,101,caja pequena
15,21,108,caja pequena
20,29,105,caja pequena
21,39,127,caja pequena1
29,34,126,caja pequena1
31,44,120,caja pequena1
34,56,127,caja pequena1
24,52,134,caja pequena1
30,59,138,caja pequena1
23,45,128,caja pequena1
31,44,122,caja pequena1
21,46,122,caja pequena1
22,59,123,caja pequena1
34,55,121,caja pequena1
30,54,126,caja pequena1
34,46,137,caja pequena1
22,59,131,caja pequena1
24,47,129,caja pequena1
20,36,128,caja pequena1
34,39,135,caja pequena1
32,60,123,caja pequena1
29,56,135,caja pequena1
32,36,122,caja pequena1
31,46,131,caja pequena1
23,55,129,caja pequena1
32,55,128,caja pequena1
21,39,130,caja pequena1
26,33,127,caja pequena1
28,41,137,caja pequena1
33,51,140,caja pequena1
24,50,140,caja pequena1
26,47,123,caja pequena1
26,58,123,caja pequena1
34,38,131,caja pequena1
35,49,122,caja pequena1
31,45,138,caja pequena1
26,30,121,caja pequena1
34,54,132,caja pequena1
31,53,124,caja pequena1
34,33,134,caja pequena1
35,30,138,caja pequena1
35,55,122,caja pequena1
23,30,134,caja pequena1
35,48,122,caja pequena1
28,36,126,caja pequena1
27,58,132,caja pequena1
21,43,120,caja pequena1
24,43,140,caja pequena1
22,52,126,caja pequena1
23,51,138,caja pequena1
20,35,133,caja pequena1
22,36,131,caja pequena1
21,43,125,caja pequena1
32,42,133,caja pequena1
32,51,138,caja pequena1
25,51,133,caja pequena1
34,37,137,caja pequena1
21,36,138,caja pequena1
32,54,123,caja pequena1
33,43,124,caja pequena1
22,47,140,caja pequena1
22,30,128,caja pequena1
22,42,131,caja pequena1
27,49,139,caja pequena1
35,59,120,caja pequena1
20,52,127,caja pequena1
33,46,140,caja pequena1
34,44,136,caja pequena1
20,48,130,caja pequena1
28,35,130,caja pequena1
32,32,135,caja pequena1
34,53,132,caja pequena1
26,47,131,caja pequena1
20,49,137,caja pequena1
33,58,138,caja pequena1
33,55,134,caja pequena1
32,50,137,caja pequena1
20,48,121,caja pequena1
30,51,131,caja pequena1
24,41,129,caja pequena1
31,56,123,caja pequena1
25,32,140,caja pequena1
26,53,139,caja pequena1
21,40,140,caja pequena1
35,44,125,caja pequena1
34,41,138,caja pequena1
35,42,137,caja pequena1
32,56,136,caja pequena1
33,33,120,caja pequena1
28,49,128,caja pequena1
21,37,131,caja pequena1
32,56,129,caja pequena1
35,51,140,caja pequena1
26,47,126,caja pequena1
29,43,133,caja pequena1
31,42,132,caja pequena1
35,41,128,caja pequena1
21,30,123,caja pequena1
33,52,135,caja pequena1
20,46,124,caja pequena1
34,42,124,caja pequena1
32,56,134,caja pequena1
35,39,123,caja pequena1
35,35,133,caja pequena1
30,46,135,caja pequena1
20,45,132,caja pequena1
27,37,135,caja pequena1
25,43,125,caja pequena1
32,42,139,caja pequena1
22,40,132,caja pequena1
31,45,126,caja pequena1
23,36,132,caja pequena1
30,40,125,caja pequena1
20,47,139,caja pequena1
24,54,138,caja pequena1
30,35,132,caja pequena1
21,34,136,caja pequena1
25,31,123,caja pequena1
30,38,130,caja pequena1
23,32,122,caja pequena1
28,60,122,caja pequena1
35,36,127,caja pequena1
30,55,138,caja pequena1
35,51,135,caja pequena1
35,54,137,caja pequena1
23,46,135,caja pequena1
34,30,137,caja pequena1
24,53,126,caja pequena1
30,44,137,caja pequena1
21,40,130,caja pequena1
30,38,140,caja pequena1
27,42,136,caja pequena1
34,57,123,caja pequena1
30,38,125,caja pequena1
31,60,122,caja pequena1
24,53,126,caja pequena1
20,37,137,caja pequena1
34,53,121,caja pequena1
31,35,129,caja pequena1
22,40,124,caja pequena1
30,57,139,caja pequena1
34,32,133,caja pequena1
24,43,125,caja pequena1
27,39,121,caja pequena1
22,47,120,caja pequena1
28,52,137,caja pequena1
31,37,128,caja pequena1
28,53,137,caja pequena1
29,38,131,caja pequena1
26,53,135,caja pequena1
31,50,134,caja pequena1
34,56,133,caja pequena1
34,43,134,caja pequena1
25,41,132,caja pequena1
20,58,132,caja pequena1
21,59,124,caja pequena1
23,45,139,caja pequena1
27,46,137,caja pequena1
23,59,128,caja pequena1
23,34,126,caja pequena1
26,57,123,caja pequena1
30,45,121,caja pequena1
21,49,133,caja pequena1
34,51,129,caja pequena1
31,43,127,caja pequena1
30,42,128,caja pequena1
26,38,140,caja pequena1
29,57,123,caja pequena1
29,32,131,caja pequena1
35,32,125,caja pequena1
31,31,137,caja pequena1
23,51,121,caja pequena1
21,33,126,caja pequena1
26,34,131,caja pequena1
28,48,136,caja pequena1
25,31,129,caja pequena1
25,39,136,caja pequena1
35,51,128,caja pequena1
33,36,120,caja pequena1
34,35,129,caja pequena1
35,51,128,caja pequena1
31,34,134,caja pequena1
31,49,120,caja pequena1
28,38,130,caja pequena1
32,41,125,caja pequena1
33,50,128,caja pequena1
27,39,133,caja pequena1
25,54,134,caja pequena1
23,38,127,caja pequena1
24,60,133,caja pequena1
25,57,135,caja pequena1
29,55,132,caja pequena1
23,59,120,caja pequena1
25,44,126,caja pequena1
28,53,124,caja pequena1
29,30,135,caja pequena1
27,58,139,caja pequena1
33,49,132,caja pequena1
34,39,137,caja pequena1
25,35,128,caja pequena1
30,60,136,caja pequena1
30,47,125,caja pequena1
29,36,125,caja pequena1
21,38,123,caja pequena1
28,53,127,caja pequena1
22,45,127,caja pequena1
30,47,139,caja pequena1
24,30,139,caja pequena1
20,42,127,caja pequena1
20,34,122,caja pequena1
35,31,126,caja pequena1
32,38,126,caja pequena1
28,60,138,caja pequena1
21,55,121,caja pequena1
26,58,132,caja pequena1
24,44,122,caja pequena1
23,50,139,caja pequena1
22,35,139,caja pequena1
34,43,128,caja pequena1
21,59,127,caja pequena1
33,31,139,caja pequena1
23,59,124,caja pequena1
28,50,131,caja pequena1
32,52,120,caja pequena1
29,33,139,caja pequena1
35,33,132,caja pequena1
27,39,125,caja pequena1
22,45,132,caja pequena1
24,43,137,caja pequena1
35,35,127,caja pequena1
22,53,132,caja pequena1
23,46,131,caja pequena1
34,56,130,caja pequena1
24,46,121,caja pequena1
25,46,126,caja pequena1
25,35,131,caja pequena1
28,33,125,caja pequena1
29,57,123,caja pequena1
24,35,125,caja pequena1
20,40,136,caja pequena1
20,45,129,caja pequena1
33,52,120,caja pequena1
30,38,121,caja pequena1
28,49,125,caja pequena1
24,33,126,caja pequena1
29,52,135,caja pequena1
25,41,132,caja pequena1
29,42,138,caja pequena1
33,60,135,caja pequena1
23,54,123,caja pequena1
35,45,124,caja pequena1
34,35,129,caja pequena1
34,55,120,caja pequena1
24,43,132,caja pequena1
28,39,120,caja pequena1
29,42,121,caja pequena1
32,43,138,caja pequena1
31,44,122,caja pequena1
24,52,133,caja pequena1
22,56,123,caja pequena1
31,60,126,caja pequena1
31,37,138,caja pequena1
32,34,138,caja pequena1
34,59,137,caja pequena1
33,54,136,caja pequena1
20,44,135,caja pequena1
23,60,133,caja pequena1
22,43,122,caja pequena1
29,31,131,caja pequena1
32,52,126,caja pequena1
34,46,134,caja pequena1
33,53,136,caja pequena1
31,36,136,caja pequena1
33,40,130,caja pequena1
31,33,126,caja pequena1
22,42,132,caja pequena1
28,49,123,caja pequena1
23,36,131,caja pequena1
23,32,131,caja pequena1
20,38,138,caja pequena1
31,47,137,caja pequena1
26,43,140,caja pequena1
26,38,123,caja pequena1
24,39,129,caja pequena1
27,36,121,caja pequena1
21,42,131,caja pequena1
29,40,138,caja pequena1
24,32,128,caja pequena1
25,41,126,caja pequena1
27,33,121,caja pequena1
20,60,139,caja pequena1
20,33,122,caja pequena1
22,30,136,caja pequena1
33,39,136,caja pequena1
28,59,127,caja pequena1
25,34,139,caja pequena1
31,46,138,caja pequena1
35,51,123,caja pequena1
27,55,127,caja pequena1
21,57,127,caja pequena1
30,41,121,caja pequena1
24,40,127,caja pequena1
29,50,131,caja pequena1
21,45,126,caja pequena1
23,41,127,caja pequena1
29,45,134,caja pequena1
23,57,136,caja pequena1
30,44,129,caja pequena1
24,40,140,caja pequena1
31,45,120,caja pequena1
34,38,134,caja pequena1
25,47,139,caja pequena1
27,38,139,caja pequena1
30,31,120,caja pequena1
25,34,121,caja pequena1
26,30,125,caja pequena1
26,32,128,caja pequena1
31,44,132,caja pequena1
34,38,125,caja pequena1
32,33,127,caja pequena1
28,53,126,caja pequena1
25,39,134,caja pequena1
30,30,122,caja pequena1
35,50,137,caja pequena1
35,45,133,caja pequena1
28,51,127,caja pequena1
35,38,129,caja pequena1
31,43,123,caja pequena1
30,40,129,caja pequena1
27,37,133,caja pequena1
25,35,133,caja pequena1
33,42,138,caja pequena1
20,48,138,caja pequena1
24,42,125,caja pequena1
30,58,140,caja pequena1
29,53,136,caja pequena1
27,44,133,caja pequena1
26,45,124,caja pequena1
28,47,132,caja pequena1
34,38,125,caja pequena1
33,46,129,caja pequena1
33,32,124,caja pequena1
35,56,140,caja pequena1
20,53,124,caja pequena1
27,48,120,caja pequena1
28,60,129,caja pequena1
34,37,132,caja pequena1
29,59,125,caja pequena1
35,39,137,caja pequena1
20,56,139,caja pequena1
23,36,132,caja pequena1
28,31,136,caja pequena1
25,47,133,caja pequena1
23,51,126,caja pequena1
33,44,137,caja pequena1
33,60,140,caja pequena1
35,33,122,caja pequena1
31,33,137,caja pequena1
25,32,124,caja pequena1
34,55,128,caja pequena1
35,41,138,caja pequena1
26,59,130,caja pequena1
25,54,138,caja pequena1
24,58,129,caja pequena1
34,40,127,caja pequena1
28,48,124,caja pequena1
28,60,128,caja pequena1
26,52,128,caja pequena1
31,31,120,caja pequena1
33,45,132,caja pequena1
23,54,131,caja pequena1
28,57,126,caja pequena1
30,34,135,caja pequena1
20,41,121,caja pequena1
20,38,120,caja pequena1
26,38,132,caja pequena1
32,33,128,caja pequena1
29,30,128,caja pequena1
34,41,134,caja pequena1
26,36,137,caja pequena1
35,35,135,caja pequena1
25,53,130,caja pequena1
25,50,140,caja pequena1
21,36,137,caja pequena1
30,46,123,caja pequena1
34,44,132,caja pequena1
22,36,129,caja pequena1
24,33,121,caja pequena1
25,47,124,caja pequena1
21,32,126,caja pequena1
35,45,121,caja pequena1
27,60,133,caja pequena1
29,53,124,caja pequena1
25,43,122,caja pequena1
26,42,123,caja pequena1
31,36,120,caja pequena1
24,49,121,caja pequena1
35,30,140,caja pequena1
23,40,122,caja pequena1
30,56,131,caja pequena1
23,51,134,caja pequena1
33,32,128,caja pequena1
26,38,127,caja pequena1
27,35,124,caja pequena1
28,34,128,caja pequena1
30,33,122,caja pequena1
34,54,135,caja pequena1
32,32,140,caja pequena1
35,40,134,caja pequena1
24,36,123,caja pequena1
23,30,135,caja pequena1
26,57,128,caja pequena1
24,48,140,caja pequena1
31,56,126,caja pequena1
30,60,140,caja pequena1
26,37,139,caja pequena1
30,58,133,caja pequena1
24,54,132,caja pequena1
28,40,127,caja pequena1
35,41,133,caja pequena1
35,38,125,caja pequena1
28,46,124,caja pequena1
27,42,135,caja pequena1
22,34,121,caja pequena1
31,38,124,caja pequena1
34,41,123,caja pequena1
26,55,121,caja pequena1
34,52,123,caja pequena1
34,44,122,caja pequena1
35,54,127,caja pequena1
28,59,134,caja pequena1
23,46,128,caja pequena1
25,32,128,caja pequena1
26,55,137,caja pequena1
29,50,136,caja pequena1
29,58,126,caja pequena1
24,30,137,caja pequena1
25,59,125,caja pequena1
35,34,138,caja pequena1
30,42,134,caja pequena1
24,55,130,caja pequena1
27,45,132,caja pequena1
22,38,121,caja pequena1
32,43,126,caja pequena1
23,52,125,caja pequena1
21,40,139,caja pequena1
27,36,126,caja pequena1
26,54,121,caja pequena1
24,30,122,caja pequena1
34,43,139,caja pequena1
31,37,140,caja pequena1
33,47,134,caja pequena1
31,42,131,caja pequena1
32,41,140,caja pequena1
27,31,133,caja pequena1
33,32,123,caja pequena1
25,56,126,caja pequena1
32,54,124,caja pequena1
31,48,130,caja pequena1
29,53,128,caja pequena1
20,57,128,caja pequena1
30,34,131,caja pequena1
20,40,137,caja pequena1
20,57,128,caja pequena1
26,50,131,caja pequena1
25,43,123,caja pequena1
27,30,120,caja pequena1
27,42,140,caja pequena1
23,50,133,caja pequena1
21,32,136,caja pequena1
24,59,131,caja pequena1
32,41,131,caja pequena1
34,51,121,caja pequena1
28,59,127,caja pequena1
30,43,120,caja pequena1
23,34,132,caja pequena1
21,36,140,caja pequena1
35,36,121,caja pequena1
30,46,137,caja pequena1
27,31,139,caja pequena1
27,36,139,caja pequena1
26,41,120,caja pequena1
29,39,123,caja pequena1
27,47,126,caja pequena1
29,33,123,caja pequena1
34,60,132,caja pequena1
33,38,128,caja pequena1
31,42,137,caja pequena1
20,39,136,caja pequena1
31,37,124,caja pequena1
33,31,124,caja pequena1
29,34,128,caja pequena1
27,36,139,caja pequena1
31,58,137,caja pequena1
31,39,131,caja pequena1
35,41,128,caja pequena1
31,33,123,caja pequena1
26,45,140,caja pequena1
24,31,127,caja pequena1
31,36,127,caja pequena1
26,36,134,caja pequena1
35,54,133,caja pequena1
32,57,123,caja pequena1
47,67,155,caja pequena2
35,75,146,caja pequena2
52,76,145,caja pequena2
39,61,152,caja pequena2
53,63,143,caja pequena2
49,84,148,caja pequena2
44,81,151,caja pequena2
44,60,142,caja pequena2
45,65,157,caja pequena2
53,65,143,caja pequena2
40,84,147,caja pequena2
36,82,143,caja pequena2
55,84,153,caja pequena2
40,64,153,caja pequena2
47,78,150,caja pequena2
47,68,149,caja pequena2
50,62,144,caja pequena2
35,73,141,caja pequena2
54,65,149,caja pequena2
53,75,140,caja pequena2
46,64,140,caja pequena2
48,73,146,caja pequena2
40,69,156,caja pequena2
53,76,146,caja pequena2
44,69,141,caja pequena2
55,84,142,caja pequena2
35,72,141,caja pequena2
39,65,141,caja pequena2
44,78,155,caja pequena2
41,79,149,caja pequena2
52,60,157,caja pequena2
51,76,144,caja pequena2
42,84,159,caja pequena2
49,79,140,caja pequena2
51,68,146,caja pequena2
41,64,153,caja pequena2
54,64,142,caja pequena2
36,85,149,caja pequena2
52,84,144,caja pequena2
41,65,145,caja pequena2
52,75,140,caja pequena2
41,71,142,caja pequena2
41,61,146,caja pequena2
37,79,156,caja pequena2
36,64,142,caja pequena2
47,67,142,caja pequena2
39,72,145,caja pequena2
43,85,144,caja pequena2
54,66,144,caja pequena2
35,77,141,caja pequena2
53,68,155,caja pequena2
40,65,152,caja pequena2
43,77,141,caja pequena2
35,82,143,caja pequena2
38,62,155,caja pequena2
55,72,144,caja pequena2
38,80,146,caja pequena2
39,62,149,caja pequena2
42,65,145,caja pequena2
49,62,156,caja pequena2
35,83,150,caja pequena2
55,83,151,caja pequena2
38,74,159,caja pequena2
37,80,160,caja pequena2
39,68,151,caja pequena2
47,66,156,caja pequena2
52,72,147,caja pequena2
47,82,158,caja pequena2
38,70,141,caja pequena2
47,83,156,caja pequena2
37,69,156,caja pequena2
54,85,154,caja pequena2
35,62,146,caja pequena2
40,62,160,caja pequena2
35,75,143,caja pequena2
38,66,157,caja pequena2
51,79,151,caja pequena2
37,73,158,caja pequena2
53,76,140,caja pequena2
44,80,159,caja pequena2
44,74,142,caja pequena2
39,68,159,caja pequena2
45,60,145,caja pequena2
38,60,150,caja pequena2
54,60,154,caja pequena2
44,62,153,caja pequena2
41,69,154,caja pequena2
35,63,160,caja pequena2
50,84,147,caja pequena2
51,80,146,caja pequena2
39,82,147,caja pequena2
35,84,150,caja pequena2
35,64,156,caja pequena2
54,64,145,caja pequena2
54,68,143,caja pequena2
53,72,145,caja pequena2
41,83,149,caja pequena2
46,65,145,caja pequena2
53,62,160,caja pequena2
55,85,150,caja pequena2
38,71,154,caja pequena2
45,65,151,caja pequena2
43,71,151,caja pequena2
37,72,140,caja pequena2
48,60,153,caja pequena2
47,81,160,caja pequena2
46,63,140,caja pequena2
41,72,154,caja pequena2
39,81,140,caja pequena2
48,84,152,caja pequena2
46,74,159,caja pequena2
37,73,143,caja pequena2
